url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language,content_hash
https://www.unionesarda.it/news-sardegna/sanita-ok-alla-delibera-per-stabilizzare-il-personale-assunto-durante-lemergenza-covid-pp714fow,https://www.unionesarda.it/news-sardegna/sanita-ok-alla-delibera-per-stabilizzare-il-personale-assunto-durante-lemergenza-covid-pp714fow?amp=1,"Sanità , ok alla delibera per stabilizzare il personale assunto durante lemergenza Covid",20250424T161500Z,https://immagini.unionesarda.it/version/c:ZmJhMDdjYjAtNTUxZS00:OWQ2YjFhMGMtYzc1MS00/image.webp?f=16:9,unionesarda.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,d9cc42a4909255d6f12d0b0282f14048
https://www.quotidianosanita.it/governo-e-parlamento/articolo.php,,Medici di famiglia in servizio fino a 71 anni . Sbarca in Aula alla Camera il Dl Pa,20250422T094500Z,https://www.quotidianosanita.it/img_prima/1745309030.jpg,quotidianosanita.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,07ebedfff6945b3050bf73cbf9fc523c
https://www.publico.pt/2025/04/21/culturaipsilon/noticia/gulbenkian-procura-novo-director-museu-antonio-filipe-pimentel-reformase-proximo-ano-2130527,,Gulbenkian procura novo director para o museu . Pimentel reforma - se no próximo ano | Fundao Calouste Gulbenkian,20250421T194500Z,,publico.pt,Portuguese,Portugal,RECRUITMENT,Recruitment and hiring,Portuguese,47352c231c87e6a80f1746e9250f0e1f
https://oglobo.globo.com/blogs/ancelmo-gois/post/2025/04/nfl-na-gavea-hexacampeao-do-futebol-americano-recruta-zagueiro-do-flamengo.ghtml,https://oglobo.globo.com/google/amp/blogs/ancelmo-gois/post/2025/04/nfl-na-gavea-hexacampeao-do-futebol-americano-recruta-zagueiro-do-flamengo.ghtml,NFL na Gávea : hexacampeão do futebol americano  recruta  zagueiro do Flamengo,20250426T191500Z,https://s2-oglobo.glbimg.com/f9k4jwhs4Y7VNiRKxQ4v28-QaXw=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_da025474c0c44edd99332dddb09cabe8/internal_photos/bs/2025/S/q/Nb7VDFSSucsKxA37XGXw/imagem-do-whatsapp-de-2025-04-25-a-s-18.52.28-e0182094.jpg,oglobo.globo.com,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,edf03ea2fd4364f1b3b517ad9227cb95
https://www.band.uol.com.br/noticias/ucrania-quer-mais-brasileiros-lutando-em-suas-trincheiras-202504230600,https://www.band.uol.com.br/noticias/ucrania-quer-mais-brasileiros-lutando-em-suas-trincheiras-202504230600/amp,Ucrânia quer mais brasileiros lutando em suas trincheiras,20250423T131500Z,https://static.dw.com/image/72297918_303.jpg,band.uol.com.br,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,e75e2e064f00f33c2f947fbb150f079f
https://www.cartacapital.com.br/mundo/ucrania-quer-mais-brasileiros-lutando-em-suas-trincheiras/,,Ucrânia quer mais brasileiros lutando em suas trincheiras,20250423T104500Z,https://www.cartacapital.com.br/wp-content/uploads/2025/01/Ucrania.jpg,cartacapital.com.br,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,1cc08684f3ddda4c49fc10817ea6039a
https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2025/04/23/ucrania-quer-mais-brasileiros-lutando-em-suas-trincheiras.htm,https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2025/04/23/ucrania-quer-mais-brasileiros-lutando-em-suas-trincheiras.amp.htm,Ucrânia quer mais brasileiros lutando em suas trincheiras,20250423T091500Z,,noticias.uol.com.br,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,8c35c27f624a7e6a743215f5f8564a6b
https://www.acidadeon.com/araraquara/economia/salarios-de-ate-r-25-mil-pat-de-araraquara-inicia-semana-com-10-oportunidades-abertas/,https://www.acidadeon.com/araraquara/economia/salarios-de-ate-r-25-mil-pat-de-araraquara-inicia-semana-com-10-oportunidades-abertas/amp/,"Salários de até R$ 2 , 5 mil : PAT de Araraquara inicia semana com 10 oportunidades abertas",20250422T190000Z,https://www.acidadeon.com/araraquara/wp-content/uploads/sites/4/2023/12/trabalhador-manual-segurando-cimento-cesta-para-construcao-scaled.jpg,acidadeon.com,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,eaf96ec9e93c24362aef0613bb480151
https://jcconcursos.uol.com.br/noticia/empregos/c6-bank-abre-vagas-em-tecnologia-exclusivas-para-pessoas-com-deficiencia-134460,https://jcconcursos.uol.com.br/amp/noticia/empregos/c6-bank-abre-vagas-em-tecnologia-exclusivas-para-pessoas-com-deficiencia-134460,C6 Bank abre vagas em tecnologia exclusivas para pessoas com deficiência,20250422T203000Z,https://jcconcursos.uol.com.br/media/_versions/noticia/c6bank-divulgacao_widelg.jpg,jcconcursos.uol.com.br,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,43172480cc342e7e2b4015bc419b46da
https://observador.pt/2025/04/22/combate-a-corrupcao-recebe-maior-numero-dos-113-novos-inspetores-da-pj/,,Combate à corrupo recebe maior número dos 113 novos inspetores da PJ,20250422T234500Z,https://wm.observador.pt/wm/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A1440%3A808%3Anowe%3A0%3A74%2Fq%3A70%2Ff%3Awebp%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2025%2F04%2F22232844%2Fpj.jpg?layer=obstop:T,observador.pt,Portuguese,Portugal,RECRUITMENT,Recruitment and hiring,Portuguese,18876482bbb7c0328d5d0b5ee2a759cd
